time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,297.66,0.0,628.7,73.64,702.34,73.64,13.26440349205346,0.0,15.613135495473035,8.599441842352329,13.26440349205346,8.599441842352329
1,364.36,14.14,498.26,123.24,621.5,137.38,14.778037758782457,3.45838112416778,23.453622321509314,17.47061532974726,15.421089455677247,18.703892642976754
2,391.52,35.46,377.6,195.42,573.02,230.88,16.38199011109456,7.502559563242401,26.327172275046934,21.794577307211075,18.398358622442384,25.627048210825997
3,387.44,67.48,280.7,264.38,545.08,331.86,18.47610348531313,10.018462955962855,25.15810008724824,23.471591339319115,17.882773834056056,29.62297081658084
4,365.76,107.84,219.7,306.7,526.4,414.54,18.66286151692714,11.402385715279062,19.340372281835737,18.44586674569672,18.61289875328397,25.23347776268662
5,336.32,147.2,195.5,320.98,516.48,468.18,17.959331836123525,13.727344972717775,12.070211265756702,14.543025819959201,16.408826892864706,19.16944443639408
6,308.22,183.56,178.94,329.28,508.22,512.84,16.766979453676203,15.371610195421948,10.867216754992972,13.274095072734713,14.759796746568025,17.810513748906853
7,284.2,214.74,167.14,333.92,501.06,548.66,15.201315732527894,13.444418916412861,14.024278947596558,17.23466274691791,14.827555428997728,20.76209045351648
8,260.62,239.14,160.5,339.74,500.24,578.88,15.983604099201154,14.126584866838837,10.615554625171498,15.910763652320401,14.689533688990947,20.81503302903937
9,240.08,258.06,155.2,346.66,501.86,604.72,15.638209616193281,15.332853615684197,9.186947262284681,16.078072023722246,14.436079800278192,17.494044700983245
10,224.32,274.44,147.98,353.26,501.24,627.7,13.289755452979561,15.471470518344402,9.379744132970792,14.653067938148652,14.978063960338798,14.414229081015746
11,207.56,293.92,144.2,354.32,498.52,648.24,13.238066324052015,14.572357393366387,11.673902518009989,17.188880126407305,16.436836678631323,15.777908606656332
12,192.64,306.42,141.58,359.36,500.94,665.78,12.88993405724017,15.264455443939033,12.582670622725526,14.203886792001688,15.701477637470939,16.27303290723644
13,182.92,319.02,139.06,359.0,498.06,678.02,12.081125775357195,14.849228936210796,12.213779103946493,13.131641176943573,14.034828107248053,16.587332516109996
14,173.98,327.98,134.5,363.54,498.04,691.52,12.13011129380106,13.752803350590018,11.002272492535349,13.702861015131111,11.938107052627732,17.427839797289852
15,163.96,334.42,132.04,369.58,501.62,704.0,13.596999669044639,14.798770219176998,11.793150554453208,14.370928988760609,15.160329811715838,18.474847766625846
16,157.42,343.76,131.32,367.5,498.82,711.26,13.421013374555589,16.109078185917404,11.788876112675032,13.290974381135493,16.013356924767525,17.85923850560264
17,153.06,349.06,127.46,370.42,497.88,719.48,13.165728236599751,13.346774891336109,10.406171245948242,14.75003728808846,15.974529727037352,15.328718146015992
18,148.28,354.0,129.14,368.58,497.72,722.58,10.656528515421897,12.1309521472966,9.583339710142804,14.150745563397003,14.02004279594039,14.133775150326963
19,145.58,358.34,125.68,370.4,496.08,728.74,11.160806422476828,13.750069090735508,12.24979999836732,12.956851469396414,13.972601762019842,14.78487064535906
