time,DS_mean,DI_mean,ES_mean,EI_mean,active_mean,infected_mean,DS_std,DI_std,ES_std,EI_std,active_std,infected_std
0,29.8,0.0,63.28,6.92,70.2,6.92,4.707440918375928,0.0,5.107014783608914,2.4806450773941844,4.707440918375928,2.4806450773941844
1,39.62,2.02,34.34,24.02,58.36,26.04,4.6728577979647525,1.6061133210331084,7.617374875900489,7.920833289496756,4.723388614120163,8.57661938061845
2,38.3,7.94,16.72,37.04,53.76,44.98,5.158488150611572,3.786343882956222,4.907300683675293,5.5998571410349385,5.387244193462925,6.589355051899997
3,32.04,16.44,15.82,35.7,51.52,52.14,4.853699619877605,4.271580503747998,3.766643067772682,4.075536774462966,5.14291745996375,4.9880256615218
4,26.68,22.22,13.5,37.6,51.1,59.82,4.051863768687196,4.446526734429919,3.6837480912787726,5.502726596879042,4.504442251822083,5.46512579910106
5,23.62,27.24,11.58,37.56,49.14,64.8,4.302975714549177,4.752094275159111,3.4818960352084036,3.753185313836768,4.907178415342161,4.345112196480086
6,20.08,29.34,11.42,39.16,50.58,68.5,3.7085846356797627,4.675938408490856,3.3650557201924607,4.8676893902548874,5.374346471897769,4.364630568559039
7,17.62,31.24,10.44,40.7,51.14,71.94,3.8878785989276983,3.9271363612688575,2.836617704238624,5.084289527554465,5.126441260757798,4.158894083767944
8,15.32,33.9,9.74,41.04,50.78,74.94,3.426018096858217,4.290687590584987,2.9516774891576487,4.870154001671816,4.82613717169332,4.509589781787253
9,13.08,36.26,9.0,41.66,50.66,77.92,3.142228508558854,4.744723384982522,2.280350850198276,5.1014115693599935,4.598304035185146,3.713973613261139
10,11.98,38.04,8.28,41.7,49.98,79.74,3.152713117300716,4.0445518911246525,2.5222212432695112,4.916299421312742,5.116600433881856,3.4514344843847176
11,10.84,38.06,7.32,43.78,51.1,81.84,2.6333248945012464,4.709182519291432,2.5724696305301644,4.517919875340863,4.746577714522327,2.9350298124550624
12,9.88,39.88,7.36,42.88,50.24,82.76,2.3633873994755916,5.046345212131252,2.8688673723265774,5.398666502016956,5.034123558277051,3.332026410459557
13,9.52,41.82,6.58,42.08,48.66,83.9,2.55530820058951,4.5724829141288215,2.0008997975910736,4.659785402784124,4.624326978058537,3.3181320046074116
14,8.58,42.38,6.94,42.1,49.04,84.48,2.5384247083575278,4.927027501445471,2.7814384767598224,5.459853477887479,5.58197097806859,3.5170442135406828
15,8.06,42.32,6.74,42.88,49.62,85.2,2.8100533802758982,4.487493732586152,1.9980990966416055,4.68888046339422,4.736623269798856,3.1937438845342627
16,7.38,41.38,6.82,44.42,51.24,85.8,2.4810481655945336,3.9541876536148353,2.338289973463514,4.673713726791576,4.32924935756766,3.5777087639996634
17,7.54,43.06,5.46,43.94,49.4,87.0,2.434830589589346,4.892484031655086,2.201908263302538,5.077046385448925,5.106858133921481,3.1496031496047245
18,7.06,42.66,6.96,43.32,50.28,85.98,2.403414238120429,4.8933015439476035,2.2800000000000002,4.785143676003888,4.608861030666904,3.1653751752359462
19,6.9,43.84,6.64,42.62,49.26,86.46,2.1840329667841556,5.123904761019666,2.48,4.651408388864603,4.748936723099182,3.5282290175100592
20,6.7,44.78,5.86,42.66,48.52,87.44,2.4758836806279896,4.750957798170806,2.7203676222157913,4.7523047040357165,4.6010433599347875,3.163289427162807
21,6.3,44.58,6.58,42.54,49.12,87.12,2.202271554554524,5.161743891360748,2.7791365565585293,4.932382791308882,4.9462713229259885,3.2535519052260407
22,6.04,43.48,5.92,44.56,50.48,88.04,2.135040983213203,5.115623129199413,2.7773368538943917,5.503308096045505,5.092111546303753,3.187224497897818
23,6.28,43.88,5.94,43.9,49.84,87.78,1.9903768487399565,4.483926850429208,2.082402458700047,4.382921400162226,4.691950553874157,2.5790695996812496
24,5.9,43.64,6.54,43.92,50.46,87.56,1.8788294228055935,4.598956403359353,2.3427334462119247,4.7321876547744814,4.750621012036216,2.8993792439072195
25,5.96,44.4,6.44,43.2,49.64,87.6,2.3576259245266202,3.847076812334269,2.6012304780622575,4.252058325093859,4.08783561313319,3.5665109000254014
26,6.14,43.92,5.92,44.02,49.94,87.94,2.660902102671198,4.82841588929537,2.14326853193901,5.163293522549343,5.412614894854427,3.26441418940673
27,6.4,42.4,6.46,44.74,51.2,87.14,2.6532998322843198,4.161730409336962,2.5706808436676845,4.092969582100507,4.326661530556787,3.7095013141930546
28,6.54,42.08,6.42,44.96,51.38,87.04,2.721837614553815,4.906485503901952,1.9706851600395228,4.284670349046703,4.004447527437462,3.4290523472236467
